OID_,description,usle_c,usle_p,lucode
174,S,0.202142864465714,1.000000000000000,174
175,S,0.202142864465714,1.000000000000000,175
176,S,0.202142864465714,1.000000000000000,176
177,S,0.202142864465714,1.000000000000000,177
178,S,0.163857147097588,1.000000000000000,178
179,S,0.163857147097588,1.000000000000000,179
180,S,0.163857147097588,1.000000000000000,180
181,S,0.004000000189990,1.000000000000000,181
182,S,0.004000000189990,1.000000000000000,182
183,S,0.188571423292160,1.000000000000000,183
184,S,0.188571423292160,1.000000000000000,184
185,S,0.188571423292160,1.000000000000000,185
186,S,0.188571423292160,1.000000000000000,186
187,S,0.123571425676346,1.000000000000000,187
188,S,0.078285716474056,1.000000000000000,188
189,S,0.192000001668930,1.000000000000000,189
190,S,0.142428576946259,1.000000000000000,190
191,S,0.142428576946259,1.000000000000000,191
192,K,0.158999994397163,1.000000000000000,192
193,K,0.158999994397163,1.000000000000000,193
194,K,0.158999994397163,1.000000000000000,194
195,G,0.004000000189990,1.000000000000000,195
196,G,0.004000000189990,1.000000000000000,196
197,G,0.004000000189990,1.000000000000000,197
198,G,0.004000000189990,1.000000000000000,198
199,G,0.025571428239346,1.000000000000000,199
200,G,0.025571428239346,1.000000000000000,200
201,G,0.025571428239346,1.000000000000000,201
202,G,0.004000000189990,1.000000000000000,202
203,G,0.004000000189990,1.000000000000000,203
204,W,0.004000000189990,1.000000000000000,204
205,W,0.004000000189990,1.000000000000000,205
206,W,0.004000000189990,1.000000000000000,206
207,W,0.004000000189990,1.000000000000000,207
208,W,0.004000000189990,1.000000000000000,208
209,W,0.004000000189990,1.000000000000000,209
210,W,0.004000000189990,1.000000000000000,210
211,W,0.004000000189990,1.000000000000000,211
212,W,0.004000000189990,1.000000000000000,212
213,W,0.004000000189990,1.000000000000000,213
214,W,0.004000000189990,1.000000000000000,214
215,W,0.004000000189990,1.000000000000000,215
216,W,0.004000000189990,1.000000000000000,216
217,W,0.004000000189990,1.000000000000000,217
218,W,0.004000000189990,1.000000000000000,218
219,W,0.004000000189990,1.000000000000000,219
220,W,0.004000000189990,1.000000000000000,220
221,W,0.004000000189990,1.000000000000000,221
222,W,0.004000000189990,1.000000000000000,222
223,W,0.004000000189990,1.000000000000000,223
224,W,0.004000000189990,1.000000000000000,224
225,W,0.004000000189990,1.000000000000000,225
226,W,0.004000000189990,1.000000000000000,226
227,W,0.004000000189990,1.000000000000000,227
228,W,0.004000000189990,1.000000000000000,228
229,W,0.004000000189990,1.000000000000000,229
230,W,0.004000000189990,1.000000000000000,230
231,W,0.004000000189990,1.000000000000000,231
232,W,0.004000000189990,1.000000000000000,232
233,W,0.004000000189990,1.000000000000000,233
